x1,x2,x3,x4,x5,x6,x7,x8
28.0,140.0,0.9,223.2,190.42296,28.610578818314856,4.741160778635896,5.090228544201816
28.0,140.0,0.9,260.4,187.71480000000003,28.429331440681914,4.7410693782358955,5.090228544201816
28.0,140.0,0.9,297.6,185.00664,28.260159816944764,4.740977977835895,5.090228544201816
28.0,140.0,0.9,334.8,182.29848,28.661065846497436,4.740886577435895,5.090228544201816
28.0,140.0,0.9,372.0,179.59032,29.171745755198064,4.740795177035896,5.090228544201816
28.0,140.0,0.9,409.2,176.88216000000003,29.68103758518573,4.740703776635895,5.090228544201816
28.0,140.0,0.9,446.4,174.174,30.18767167409709,4.740612376235895,5.090228544201816
28.0,140.0,0.9,483.6,171.46584000000001,30.690803516332682,4.740520975835896,5.090228544201816
28.0,140.0,0.9,520.8,168.75768,31.18965801451437,4.740429575435895,5.090228544201816
28.0,140.0,0.9,558.0,166.04952000000003,31.683521964195588,4.740338175035896,5.090228544201816
28.0,140.0,1.0,0.0,206.67192000000003,32.30245720140798,4.741709181035896,5.090228544201816
28.0,140.0,1.0,37.2,203.96376,31.93967923853347,4.741617780635895,5.090228544201816
28.0,140.0,1.0,74.4,201.2556,31.63051646704366,4.7415263802358965,5.090228544201816
28.0,140.0,1.0,111.6,198.54744,31.359230901246534,4.741434979835896,5.090228544201816
28.0,140.0,1.0,148.8,195.83928,31.116380547451783,4.741343579435896,5.090228544201816
28.0,140.0,1.0,186.0,193.13112,30.897394653771514,4.741252179035897,5.090228544201816
28.0,140.0,1.0,223.2,190.42296,30.69891279331486,4.741160778635896,5.090228544201816
28.0,140.0,1.0,260.4,187.71480000000003,30.51766541568192,4.7410693782358955,5.090228544201816
28.0,140.0,1.0,297.6,185.00664,30.34849379194477,4.740977977835895,5.090228544201816
28.0,140.0,1.0,334.8,182.29848,30.791086180459935,4.740886577435895,5.090228544201816
28.0,140.0,1.0,372.0,179.59032,31.351564822410563,4.740795177035896,5.090228544201816
28.0,140.0,1.0,409.2,176.88216000000003,31.91065538564823,4.740703776635895,5.090228544201816
28.0,140.0,1.0,446.4,174.174,32.46708820780959,4.740612376235895,5.090228544201816
28.0,140.0,1.0,483.6,171.46584000000001,33.020018783295185,4.740520975835896,5.090228544201816
28.0,140.0,1.0,520.8,168.75768,33.56867201472688,4.740429575435895,5.090228544201816
28.0,140.0,1.0,558.0,166.04952000000003,34.11233469765809,4.740338175035896,5.090228544201816
28.0,140.0,1.1,0.0,206.67192000000003,34.39079117640799,4.741709181035896,5.090228544201816
28.0,140.0,1.1,37.2,203.96376,34.02801321353347,4.741617780635895,5.090228544201816
28.0,140.0,1.1,74.4,201.2556,33.71885044204367,4.7415263802358965,5.090228544201816
28.0,140.0,1.1,111.6,198.54744,33.44756487624654,4.741434979835896,5.090228544201816
28.0,140.0,1.1,148.8,195.83928,33.204714522451795,4.741343579435896,5.090228544201816
28.0,140.0,1.1,186.0,193.13112,32.98572862877151,4.741252179035897,5.090228544201816
28.0,140.0,1.1,223.2,190.42296,32.78724676831486,4.741160778635896,5.090228544201816
28.0,140.0,1.1,260.4,187.71480000000003,32.605999390681916,4.7410693782358955,5.090228544201816
28.0,140.0,1.1,297.6,185.00664,32.43682776694477,4.740977977835895,5.090228544201816
